input,n_points,np_path,ply_path,status,error
docs/Pruebas_posicion_2/1758208501.275885344.pcd,13085,data/preprocessed/1758208501.275885344.npy,data/preprocessed/1758208501.275885344.ply,ok,
docs/Pruebas_posicion_2/1758208501.775609255.pcd,12981,data/preprocessed/1758208501.775609255.npy,data/preprocessed/1758208501.775609255.ply,ok,
docs/Pruebas_posicion_2/1758208501.576274157.pcd,13168,data/preprocessed/1758208501.576274157.npy,data/preprocessed/1758208501.576274157.ply,ok,
docs/Pruebas_posicion_2/1758208501.676299334.pcd,13021,data/preprocessed/1758208501.676299334.npy,data/preprocessed/1758208501.676299334.ply,ok,
docs/Pruebas_posicion_2/1758208501.876215219.pcd,13200,data/preprocessed/1758208501.876215219.npy,data/preprocessed/1758208501.876215219.ply,ok,
docs/Pruebas_posicion_2/1758208501.975710392.pcd,13133,data/preprocessed/1758208501.975710392.npy,data/preprocessed/1758208501.975710392.ply,ok,
docs/Pruebas_posicion_2/1758208502.075819254.pcd,13082,data/preprocessed/1758208502.075819254.npy,data/preprocessed/1758208502.075819254.ply,ok,
docs/Pruebas_posicion_2/1758208502.176247358.pcd,13187,data/preprocessed/1758208502.176247358.npy,data/preprocessed/1758208502.176247358.ply,ok,
docs/Pruebas_posicion_2/1758208502.275398254.pcd,13147,data/preprocessed/1758208502.275398254.npy,data/preprocessed/1758208502.275398254.ply,ok,
docs/Pruebas_posicion_2/1758208502.476515293.pcd,13162,data/preprocessed/1758208502.476515293.npy,data/preprocessed/1758208502.476515293.ply,ok,
docs/Pruebas_posicion_2/1758208502.676125288.pcd,13274,data/preprocessed/1758208502.676125288.npy,data/preprocessed/1758208502.676125288.ply,ok,
docs/Pruebas_posicion_2/1758208502.376092196.pcd,13058,data/preprocessed/1758208502.376092196.npy,data/preprocessed/1758208502.376092196.ply,ok,
docs/Pruebas_posicion_2/1758208502.575991392.pcd,13102,data/preprocessed/1758208502.575991392.npy,data/preprocessed/1758208502.575991392.ply,ok,
docs/Pruebas_posicion_2/1758208503.075803280.pcd,13106,data/preprocessed/1758208503.075803280.npy,data/preprocessed/1758208503.075803280.ply,ok,
docs/Pruebas_posicion_2/1758208502.976123333.pcd,13200,data/preprocessed/1758208502.976123333.npy,data/preprocessed/1758208502.976123333.ply,ok,
docs/Pruebas_posicion_2/1758208502.875726223.pcd,13286,data/preprocessed/1758208502.875726223.npy,data/preprocessed/1758208502.875726223.ply,ok,
docs/Pruebas_posicion_2/1758208502.776665211.pcd,13303,data/preprocessed/1758208502.776665211.npy,data/preprocessed/1758208502.776665211.ply,ok,
docs/Pruebas_posicion_2/1758208503.275535345.pcd,13195,data/preprocessed/1758208503.275535345.npy,data/preprocessed/1758208503.275535345.ply,ok,
docs/Pruebas_posicion_2/1758208503.176037312.pcd,13088,data/preprocessed/1758208503.176037312.npy,data/preprocessed/1758208503.176037312.ply,ok,
docs/Pruebas_posicion_2/1758208503.376051188.pcd,13228,data/preprocessed/1758208503.376051188.npy,data/preprocessed/1758208503.376051188.ply,ok,
docs/Pruebas_posicion_2/1758208503.475619316.pcd,13076,data/preprocessed/1758208503.475619316.npy,data/preprocessed/1758208503.475619316.ply,ok,
docs/Pruebas_posicion_2/1758208503.775408268.pcd,13187,data/preprocessed/1758208503.775408268.npy,data/preprocessed/1758208503.775408268.ply,ok,
docs/Pruebas_posicion_2/1758208503.876011372.pcd,13225,data/preprocessed/1758208503.876011372.npy,data/preprocessed/1758208503.876011372.ply,ok,
docs/Pruebas_posicion_2/1758208503.576145172.pcd,13233,data/preprocessed/1758208503.576145172.npy,data/preprocessed/1758208503.576145172.ply,ok,
docs/Pruebas_posicion_2/1758208503.675801277.pcd,13143,data/preprocessed/1758208503.675801277.npy,data/preprocessed/1758208503.675801277.ply,ok,
docs/Pruebas_posicion_2/1758208504.176461220.pcd,13315,data/preprocessed/1758208504.176461220.npy,data/preprocessed/1758208504.176461220.ply,ok,
docs/Pruebas_posicion_2/1758208504.275363207.pcd,13038,data/preprocessed/1758208504.275363207.npy,data/preprocessed/1758208504.275363207.ply,ok,
docs/Pruebas_posicion_2/1758208503.976306200.pcd,13134,data/preprocessed/1758208503.976306200.npy,data/preprocessed/1758208503.976306200.ply,ok,
docs/Pruebas_posicion_2/1758208504.076675177.pcd,13324,data/preprocessed/1758208504.076675177.npy,data/preprocessed/1758208504.076675177.ply,ok,
docs/Pruebas_posicion_2/1758208504.475559235.pcd,13108,data/preprocessed/1758208504.475559235.npy,data/preprocessed/1758208504.475559235.ply,ok,
docs/Pruebas_posicion_2/1758208504.675845385.pcd,13202,data/preprocessed/1758208504.675845385.npy,data/preprocessed/1758208504.675845385.ply,ok,
docs/Pruebas_posicion_2/1758208504.576306343.pcd,13182,data/preprocessed/1758208504.576306343.npy,data/preprocessed/1758208504.576306343.ply,ok,
docs/Pruebas_posicion_2/1758208504.375997305.pcd,13219,data/preprocessed/1758208504.375997305.npy,data/preprocessed/1758208504.375997305.ply,ok,
docs/Pruebas_posicion_2/1758208504.876458168.pcd,13223,data/preprocessed/1758208504.876458168.npy,data/preprocessed/1758208504.876458168.ply,ok,
docs/Pruebas_posicion_2/1758208504.976064205.pcd,13197,data/preprocessed/1758208504.976064205.npy,data/preprocessed/1758208504.976064205.ply,ok,
docs/Pruebas_posicion_2/1758208505.075583220.pcd,13123,data/preprocessed/1758208505.075583220.npy,data/preprocessed/1758208505.075583220.ply,ok,
docs/Pruebas_posicion_2/1758208504.775391340.pcd,13292,data/preprocessed/1758208504.775391340.npy,data/preprocessed/1758208504.775391340.ply,ok,
docs/Pruebas_posicion_2/1758208505.176241159.pcd,13333,data/preprocessed/1758208505.176241159.npy,data/preprocessed/1758208505.176241159.ply,ok,
docs/Pruebas_posicion_2/1758208505.375272274.pcd,13046,data/preprocessed/1758208505.375272274.npy,data/preprocessed/1758208505.375272274.ply,ok,
docs/Pruebas_posicion_2/1758208505.477494240.pcd,12935,data/preprocessed/1758208505.477494240.npy,data/preprocessed/1758208505.477494240.ply,ok,
docs/Pruebas_posicion_2/1758208505.279329300.pcd,13112,data/preprocessed/1758208505.279329300.npy,data/preprocessed/1758208505.279329300.ply,ok,
docs/Pruebas_posicion_2/1758208505.775759220.pcd,12871,data/preprocessed/1758208505.775759220.npy,data/preprocessed/1758208505.775759220.ply,ok,
docs/Pruebas_posicion_2/1758208505.676135302.pcd,12901,data/preprocessed/1758208505.676135302.npy,data/preprocessed/1758208505.676135302.ply,ok,
docs/Pruebas_posicion_2/1758208505.875752211.pcd,12911,data/preprocessed/1758208505.875752211.npy,data/preprocessed/1758208505.875752211.ply,ok,
docs/Pruebas_posicion_2/1758208505.575675249.pcd,12987,data/preprocessed/1758208505.575675249.npy,data/preprocessed/1758208505.575675249.ply,ok,
docs/Pruebas_posicion_2/1758208506.075752258.pcd,12864,data/preprocessed/1758208506.075752258.npy,data/preprocessed/1758208506.075752258.ply,ok,
docs/Pruebas_posicion_2/1758208505.976890326.pcd,12794,data/preprocessed/1758208505.976890326.npy,data/preprocessed/1758208505.976890326.ply,ok,
docs/Pruebas_posicion_2/1758208506.176357269.pcd,12856,data/preprocessed/1758208506.176357269.npy,data/preprocessed/1758208506.176357269.ply,ok,
docs/Pruebas_posicion_2/1758208506.275915384.pcd,12805,data/preprocessed/1758208506.275915384.npy,data/preprocessed/1758208506.275915384.ply,ok,
docs/Pruebas_posicion_2/1758208506.575602293.pcd,13417,data/preprocessed/1758208506.575602293.npy,data/preprocessed/1758208506.575602293.ply,ok,
docs/Pruebas_posicion_2/1758208506.475903273.pcd,12971,data/preprocessed/1758208506.475903273.npy,data/preprocessed/1758208506.475903273.ply,ok,
docs/Pruebas_posicion_2/1758208506.375492334.pcd,12821,data/preprocessed/1758208506.375492334.npy,data/preprocessed/1758208506.375492334.ply,ok,
docs/Pruebas_posicion_2/1758208506.676589251.pcd,13481,data/preprocessed/1758208506.676589251.npy,data/preprocessed/1758208506.676589251.ply,ok,
docs/Pruebas_posicion_2/1758208506.975478172.pcd,13021,data/preprocessed/1758208506.975478172.npy,data/preprocessed/1758208506.975478172.ply,ok,
docs/Pruebas_posicion_2/1758208506.776060343.pcd,13012,data/preprocessed/1758208506.776060343.npy,data/preprocessed/1758208506.776060343.ply,ok,
docs/Pruebas_posicion_2/1758208506.875562191.pcd,13101,data/preprocessed/1758208506.875562191.npy,data/preprocessed/1758208506.875562191.ply,ok,
docs/Pruebas_posicion_2/1758208507.076418161.pcd,12913,data/preprocessed/1758208507.076418161.npy,data/preprocessed/1758208507.076418161.ply,ok,
docs/Pruebas_posicion_2/1758208507.175581217.pcd,12998,data/preprocessed/1758208507.175581217.npy,data/preprocessed/1758208507.175581217.ply,ok,
docs/Pruebas_posicion_2/1758208507.476279259.pcd,12959,data/preprocessed/1758208507.476279259.npy,data/preprocessed/1758208507.476279259.ply,ok,
docs/Pruebas_posicion_2/1758208507.375750303.pcd,13138,data/preprocessed/1758208507.375750303.npy,data/preprocessed/1758208507.375750303.ply,ok,
docs/Pruebas_posicion_2/1758208507.276709318.pcd,13379,data/preprocessed/1758208507.276709318.npy,data/preprocessed/1758208507.276709318.ply,ok,
docs/Pruebas_posicion_2/1758208507.576450348.pcd,12811,data/preprocessed/1758208507.576450348.npy,data/preprocessed/1758208507.576450348.ply,ok,
docs/Pruebas_posicion_2/1758208507.675568342.pcd,12772,data/preprocessed/1758208507.675568342.npy,data/preprocessed/1758208507.675568342.ply,ok,
docs/Pruebas_posicion_2/1758208507.875803232.pcd,12751,data/preprocessed/1758208507.875803232.npy,data/preprocessed/1758208507.875803232.ply,ok,
docs/Pruebas_posicion_2/1758208507.776630163.pcd,12794,data/preprocessed/1758208507.776630163.npy,data/preprocessed/1758208507.776630163.ply,ok,
docs/Pruebas_posicion_2/1758208507.975704193.pcd,12752,data/preprocessed/1758208507.975704193.npy,data/preprocessed/1758208507.975704193.ply,ok,
